name,desc,showon,type,overrideConditions/0,restricted,hasValue,effects/0/affected,effects/0/type,effects/0/value,buff,hint,inputRequired,gainConditions/0/name,persistent,onceEffects/0/affected,onceEffects/0/value,endConditions/0,endConditions/1,endConditions/2,effects/1/affected,effects/1/value,gainConditions/0/value,effects/1/type,effects/2/affected,effects/2/type,effects/2/value,effects/3/affected,effects/3/type,effects/3/value,decreasingValue,gainConditions/1/name,effects/0/setValue,effects/1/setValue,effects/2/setValue,senses/0/name,gainItems/0/name,gainItems/0/type,attackRestrictions/0/name,effects/4/affected,effects/4/setValue,effects/5/affected,effects/5/setValue,effects/6/affected,effects/6/value,effects/7/affected,effects/7/setValue,effects/8/affected,effects/8/toggle,senses/1/name,gainConditions/0/choice,gainConditions/0/choiceLocked,gainConditions/0/activationPrerequisite,gainConditions/1/choice,gainConditions/1/choiceLocked,gainConditions/1/activationPrerequisite,gainConditions/2/name,gainConditions/2/choice,gainConditions/2/choiceLocked,gainConditions/2/activationPrerequisite,gainConditions/3/name,gainConditions/3/choice,gainConditions/3/choiceLocked,gainConditions/3/activationPrerequisite,gainConditions/4/name,gainConditions/4/choice,gainConditions/4/choiceLocked,gainConditions/4/activationPrerequisite,gainConditions/5/name,gainConditions/5/choice,gainConditions/5/choiceLocked,gainConditions/5/activationPrerequisite,gainConditions/6/name,gainConditions/6/choice,gainConditions/6/choiceLocked,gainConditions/6/activationPrerequisite,gainConditions/7/name,gainConditions/7/choice,gainConditions/7/choiceLocked,gainConditions/7/activationPrerequisite,gainConditions/8/name,gainConditions/8/choice,gainConditions/8/choiceLocked,gainConditions/8/activationPrerequisite,gainConditions/9/name,gainConditions/9/choice,gainConditions/9/choiceLocked,gainConditions/9/activationPrerequisite,gainConditions/10/name,gainConditions/10/choice,gainConditions/10/choiceLocked,gainConditions/10/activationPrerequisite,gainConditions/11/name,gainConditions/11/choice,gainConditions/11/choiceLocked,gainConditions/11/activationPrerequisite,gainConditions/12/name,gainConditions/12/choice,gainConditions/12/choiceLocked,gainConditions/12/activationPrerequisite,gainConditions/13/name,gainConditions/13/choice,gainConditions/13/choiceLocked,gainConditions/13/activationPrerequisite,gainConditions/14/name,gainConditions/14/choice,gainConditions/14/choiceLocked,gainConditions/14/activationPrerequisite,gainConditions/15/name,gainConditions/15/choice,gainConditions/15/choiceLocked,gainConditions/15/activationPrerequisite,gainConditions/16/name,gainConditions/16/choice,gainConditions/16/choiceLocked,gainConditions/16/activationPrerequisite,gainConditions/17/name,gainConditions/17/choice,gainConditions/17/choiceLocked,gainConditions/17/activationPrerequisite,gainConditions/18/name,gainConditions/18/choice,gainConditions/18/choiceLocked,gainConditions/18/activationPrerequisite,gainConditions/19/name,gainConditions/19/activationPrerequisite,gainConditions/20/name,gainConditions/20/activationPrerequisite,endEffects/0/affected,endEffects/0/value,choice,choices/0,choices/1,choices/2,choices/3,choices/4,choices/5,choices/6,choices/7,choices/8,effects/3/setValue,effects/5/value,effects/7/value,effects/8/value,effects/9/affected,effects/9/value,effects/10/affected,effects/10/value,effects/11/affected,effects/11/value,effects/12/affected,effects/12/value,effects/13/affected,effects/13/value,effects/14/affected,effects/14/value,effects/15/affected,effects/15/value,effects/16/affected,effects/16/value,gainItems/0/conditionChoiceFilter,gainItems/1/name,gainItems/1/type,gainItems/1/conditionChoiceFilter,gainItems/2/name,gainItems/2/type,gainItems/2/conditionChoiceFilter,gainItems/3/name,gainItems/3/type,gainItems/3/conditionChoiceFilter,gainItems/4/name,gainItems/4/type,gainItems/4/conditionChoiceFilter,gainItems/5/name,gainItems/5/type,gainItems/5/conditionChoiceFilter,gainItems/6/name,gainItems/6/type,gainItems/6/conditionChoiceFilter,gainItems/7/name,gainItems/7/type,gainItems/7/conditionChoiceFilter,gainItems/8/name,gainItems/8/type,gainItems/8/conditionChoiceFilter,gainItems/9/name,gainItems/9/type,gainItems/9/conditionChoiceFilter,gainItems/10/name,gainItems/10/type,gainItems/10/conditionChoiceFilter,gainItems/11/name,gainItems/11/type,gainItems/11/conditionChoiceFilter,attackRestrictions/0/conditionChoiceFilter,attackRestrictions/1/name,attackRestrictions/1/conditionChoiceFilter,attackRestrictions/2/name,attackRestrictions/2/conditionChoiceFilter,attackRestrictions/3/name,attackRestrictions/3/conditionChoiceFilter,attackRestrictions/4/name,attackRestrictions/4/conditionChoiceFilter,attackRestrictions/5/name,attackRestrictions/5/conditionChoiceFilter,attackRestrictions/6/name,attackRestrictions/6/conditionChoiceFilter,attackRestrictions/7/name,attackRestrictions/7/conditionChoiceFilter,attackRestrictions/8/name,attackRestrictions/8/conditionChoiceFilter,attackRestrictions/9/name,attackRestrictions/9/conditionChoiceFilter,attackRestrictions/10/name,attackRestrictions/10/conditionChoiceFilter,attackRestrictions/11/name,attackRestrictions/11/conditionChoiceFilter,choices/9,effects/4/value,overrideConditions/1,overrideConditions/2,senses/0/conditionChoiceFilter,senses/1/conditionChoiceFilter,gainActivities/0/_className,gainActivities/0/name,gainActivities/0/source,overrideConditions/3,overrideConditions/4,effects/4/type,effects/5/type,effects/6/type,effects/7/type,effects/8/type,endConditions/3,endConditions/4,endConditions/5,endConditions/6,endConditions/7,fixedDuration,onset,nextStage,nextCondition/name,previousCondition/name,effects/0/toggle,effects/6/setValue,effects/8/setValue,effects/9/setValue,effects/10/setValue,effects/11/setValue,effects/12/setValue,effects/13/setValue,effects/14/setValue,effects/15/toggle,effects/2/toggle,effects/3/toggle,nextCondition/duration,unlimited,effects/12/toggle,senses/2/name,senses/2/conditionChoiceFilter,senses/3/name,senses/3/conditionChoiceFilter,senses/4/name,senses/4/conditionChoiceFilter,senses/5/name,senses/5/conditionChoiceFilter,gainConditions/1/value,endEffects/0/source,effects/11/toggle,effects/12/type
Blinded,"You can't see. All normal terrain is difficult terrain to you. You can't detect anything using vision. You automatically critically fail Perception checks that require you to be able to see, and if vision is your only precise sense, you take a -4 status penalty to Perception checks. You are immune to visual effects. Blinded overrides dazzled.","Perception, Movement",generic,Dazzled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broken,"Broken is a condition that affects objects. An object is broken when damage has reduced its Hit Points to equal or less than its Broken Threshold. A broken object can't be used for its normal function, nor does it grant bonuses-with the exception of armor. Broken armor still grants its item bonus to AC, but it also imparts a status penalty to AC depending on its category: -1 for broken light armor, -2 for broken medium armor, or -3 for broken heavy armor.

A broken item still imposes penalties and limitations normally incurred by carrying, holding, or wearing it. For example, broken armor would still impose its Dexterity modifier cap, check penalty, and so forth.

If an effect makes an item broken automatically and the item has more HP than its Broken Threshold, that effect also reduces the item's current HP to the Broken Threshold.",,generic,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clumsy,"Your movements become clumsy and inexact. Clumsy always includes a value. You take a status penalty equal to the condition value to Dexterity-based checks and DCs, including AC, Reflex saves, ranged attack rolls, and skill checks using Acrobatics, Stealth, and Thievery.",Dexterity,generic,,,TRUE,Dexterity-based Checks and DCs,status,(-Value),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concealed,"While you are concealed from a creature, such as in a thick fog, you are difficult for that creature to see. You can still be observed, but you're tougher to target. A creature that you're concealed from must succeed at a DC 5 flat check when targeting you with an attack, spell, or other effect. Area effects aren't subject to this flat check. If the check fails, the attack, spell, or effect doesn't affect you.",AC,generic,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confused,"You don't have your wits about you, and you attack wildly. You are flat-footed, you don't treat anyone as your ally (though they might still treat you as theirs), and you can't Delay, Ready, or use reactions.

You use all your actions to Strike or cast offensive cantrips, though the GM can have you use other actions to facilitate attack, such as draw a weapon, move so that a target is in reach, and so forth. Your targets are determined randomly by the GM. If you have no other viable targets, you target yourself, automatically hitting but not scoring a critical hit. If it's impossible for you to attack or cast spells, you babble incoherently, wasting your actions.

Each time you take damage from an attack or spell, you can attempt a DC 11 flat check to recover from your confusion and end the condition.","Attacks, Activities, Skills",generic,,,,,,,,"You can't Delay, Ready, or use reactions. You use all your actions to Strike or cast offensive cantrips, though the GM can have you use other actions to facilitate attack, such as draw a weapon, move so that a target is in reach, and so forth. Your targets are determined randomly by the GM. If you have no other viable targets, you target yourself, automatically hitting but not scoring a critical hit. If it's impossible for you to attack or cast spells, you babble incoherently, wasting your actions.","Each time you take damage from an attack or spell, you can attempt a DC 11 flat check to recover from your confusion and end the condition.",Flat-Footed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Controlled,"Someone else is making your decisions for you, usually because you're being commanded or magically dominated. The controller dictates how you act and can make you use any of your actions, including attacks, reactions, or even Delay. The controller usually does not have to spend their own actions when controlling you.","Attacks, Activities, Skills",generic,,,,,,,,"Someone else is making your decisions for you, usually because you're being commanded or magically dominated. The controller dictates how you act and can make you use any of your actions, including attacks, reactions, or even Delay. The controller usually does not have to spend their own actions when controlling you.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dazzled,"Your eyes are overstimulated. If vision is your only precise sense, all creatures and objects are concealed from you.",Perception,generic,,,,,,,,"If vision is your only precise sense, all creatures and objects are concealed from you.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deafened,"You can't hear. You automatically critically fail Perception checks that require you to be able to hear. You take a -2 status penalty to Perception checks for initiative and checks that involve sound but also rely on other senses. If you perform an action with the auditory trait, you must succeed at a DC 5 flat check or the action is lost; attempt the check after spending the action but before any effects are applied. You are immune to auditory effects. ","Activities, Perception, Will",generic,,,,,,,,"You can't hear. You automatically critically fail Perception checks that require you to be able to hear. You take a -2 status penalty to Perception checks for initiative and checks that involve sound but also rely on other senses. If you perform an action with the auditory trait, you must succeed at a DC 5 flat check or the action is lost; attempt the check after spending the action but before any effects are applied. You are immune to auditory effects. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead,"You are dead. After you die, you can't act or be affected by spells that target creatures (unless they specifically target dead creatures), and for all other purposes you are an object. When you die, you are reduced to 0 Hit Points if you had a different amount, and you can't be brought above 0 Hit Points as long as you remain dead. Some magic can bring creatures back to life, such as the resurrect ritual or the raise dead spell.",,generic,All,,,,,,,,,,TRUE,HP,-9999,Dying,Doomed,Wounded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doomed,"A powerful force has gripped your soul, calling you closer to death. Doomed always includes a value. The dying value at which you die is reduced by your doomed value. If your maximum dying value is reduced to 0, you instantly die. When you die, you're no longer doomed.

Your doomed value decreases by 1 each time you get a full night's rest.",,generic,,,TRUE,Max Dying,,(-Value),,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
